##======================================================================
##
##  PROJECT:  installs-de-alta
##
##  FILENAME:  packages--post-install.txt
##
##  DESCTIPTION:
##    List of Debian type packages used across Alta / Blue Team test
##    stations
##
##
##  MANUAL PACKAGE CHANGES:
##
##    2016-04-14 Thursday
##      +  libmysqlclient15-dev  -->  libmysqlclient-dev
##      +  xpdf-utils  -->  poppler-utils
##      +  iceweasel  -->  firefox
##      +  octave3.2  -->  octave
##      +  samba-tools  -->  samba-testsuite
##      +  mysql-client-5.0  -->  mysql-client-5.5 ( package mysql-client refers to mysql-client-5.5 on Ubuntu 14.04 LTS host )
##      +  cupsys-bsd  -->  cups-bsd
##      +    -->
##      +    -->
##      +    -->
##
##      +  commenting out 'emacs21'
##      +  commenting out ''
##
##
##
##  TO DO:
##    [ ]  2016-04-14 - check whether xfce4-session gets installed with
##         xfce4,
##
##    [ ]  2016-04-14 - check whether worthwhile to add package 'lightdm',
##
##
##
##  AUTHORS AND CONTRIBUTORS:
##
##    Ted Havelka    ted@cs.pdx.edu
##
##
##
##======================================================================



##----------------------------------------------------------------------------------------------------------
## Fields . . . note that only the first field is used as of 2016-04-14.  Remaining fields are for
##   package sorting purposes, makes the list more readable to have related packages next to one
##   another - TMH
##
## PACKAGE                CATEGORY-1                  CATEGORY-2                   CATEGORY-3        NOTES
##----------------------------------------------------------------------------------------------------------

rrdtool                   database                    -                            -                 -
libmysqlclient-dev        database                    -                            -                 -

## 2017-01-06 - updating to Ubuntu 16.04.1 LTS available package:
# mysql-client-5.5        database                    -                            -                 -
mysql-client              database                    -                            -                 -
mysql-common              database                    -                            -                 -


#
## 2017-01-07 - xresprobe not available in Ubuntu 16.04.1 LTS package list . . .
##  +  https://lists.ubuntu.com/archives/ubuntu-devel/2007-April/023567.html
##  +  https://wiki.ubuntu.com/SimpleXModeSelection
# xresprobe               utility                     system                       -                 -
# yaird                   utility                     system                       -                 2016-04-14 commenting out - TMH
# + "Yet Another Initial RAM Disk...", old Debian utility - TMH

#
glibc-doc                 documentation               -                            -                 -
gnumeric-doc              documentation               -                            -                 -
manpages                  documentation               -                            -                 -
man-db                    documentation               -                            -                 -
manpages-dev              documentation               -                            -                 -

#
locate                    file-management             -                            -                 provides `locate` utility
rsync                     file-management             -                            -                 -
bzip2                     file-management             -                            -                 -
# cdfs-src                  file-management             -                            -                 -
dosfstools                file-management             -                            -                 -
smbclient                 file-management             -                            -                 -
zip                       file-management             -                            -                 -
unzip                     file-management             -                            -                 -



##----------------------------------------------------------------------------------------------------------
## PACKAGE                CATEGORY-1                  CATEGORY-2                   CATEGORY-3        NOTES
##----------------------------------------------------------------------------------------------------------

#
xserver-xorg              display-server              -                            -                 https://en.wikipedia.org/wiki/X_Window_System

#
# gdm                       session-manager           -                            -                 2017-01-05 Ted commenting out
